statement,label
9 divided by 10 is 10.42,0
85 divided by 17 is 12.23,0
33 divided by 12 is 2.75,1
35 divided by 2 is 17.5,1
62 divided by 5 is 3.24,0
99 divided by 4 is 38.45,0
29 divided by 2 is 31.21,0
78 divided by 3 is 5.11,0
64 divided by 1 is 128.63,0
86 divided by 10 is 16.81,0
93 divided by 15 is 6.2,1
95 divided by 1 is 95.0,1
15 divided by 20 is 0.75,1
90 divided by 1 is 90.0,1
71 divided by 2 is 17.87,0
96 divided by 1 is 179.07,0
45 divided by 18 is 2.5,1
52 divided by 10 is 13.05,0
58 divided by 10 is 4.5,0
21 divided by 10 is 2.1,1
90 divided by 10 is 20.69,0
87 divided by 5 is 17.4,1
47 divided by 5 is 9.4,1
34 divided by 8 is 4.25,1
24 divided by 2 is 23.41,0
18 divided by 1 is 42.98,0
18 divided by 2 is 8.75,0
21 divided by 15 is 1.4,1
89 divided by 1 is 153.04,0
74 divided by 20 is 1.05,0
57 divided by 4 is 4.88,0
20 divided by 2 is 10.46,0
75 divided by 10 is 7.5,1
76 divided by 19 is 4.0,1
58 divided by 10 is 5.8,1
90 divided by 2 is 45.0,1
31 divided by 1 is 31.0,1
25 divided by 1 is 25.0,1
65 divided by 1 is 65.0,1
71 divided by 5 is 29.96,0
31 divided by 2 is 15.5,1
14 divided by 1 is 13.65,0
73 divided by 1 is 16.3,0
76 divided by 16 is 12.34,0
36 divided by 4 is 9.0,1
67 divided by 10 is 12.83,0
50 divided by 8 is 6.25,1
7 divided by 2 is 3.5,1
65 divided by 4 is 16.25,1
27 divided by 6 is 4.5,1
17 divided by 17 is 1.6,0
77 divided by 4 is 19.25,1
44 divided by 10 is 4.4,1
6 divided by 6 is 7.36,0
6 divided by 2 is 3.0,1
79 divided by 4 is 19.75,1
63 divided by 5 is 28.99,0
41 divided by 5 is 8.2,1
87 divided by 3 is 29.0,1
18 divided by 4 is 3.13,0
78 divided by 3 is 26.0,1
30 divided by 6 is 17.98,0
47 divided by 1 is 52.83,0
60 divided by 6 is 10.0,1
28 divided by 14 is 2.0,1
4 divided by 4 is 1.0,1
69 divided by 2 is 34.5,1
16 divided by 16 is 3.42,0
60 divided by 10 is 21.65,0
88 divided by 5 is 42.56,0
66 divided by 15 is 9.5,0
74 divided by 10 is 7.4,1
29 divided by 10 is 6.27,0
33 divided by 15 is 2.2,1
98 divided by 5 is 19.6,1
43 divided by 10 is 4.3,1
90 divided by 18 is 4.28,0
27 divided by 15 is 1.8,1
96 divided by 2 is 48.0,1
86 divided by 8 is 1.53,0
100 divided by 8 is 12.5,1
95 divided by 4 is 25.97,0
79 divided by 1 is 113.44,0
40 divided by 1 is 40.0,1
57 divided by 20 is 2.85,1
80 divided by 16 is 5.0,1
73 divided by 10 is 7.3,1
63 divided by 1 is 66.24,0
71 divided by 20 is 3.55,1
22 divided by 1 is 22.0,1
52 divided by 4 is 13.0,1
83 divided by 2 is 41.5,1
22 divided by 2 is 3.21,0
39 divided by 6 is 6.07,0
47 divided by 4 is 11.15,0
68 divided by 16 is 4.25,1
12 divided by 8 is 1.5,1
39 divided by 5 is 7.8,1
63 divided by 15 is 4.2,1
52 divided by 2 is 33.26,0
70 divided by 1 is 78.64,0
2 divided by 8 is 0.25,1
85 divided by 4 is 21.25,1
35 divided by 20 is 1.75,1
41 divided by 5 is 8.2,1
78 divided by 13 is 15.9,0
86 divided by 5 is 17.2,1
69 divided by 20 is 2.18,0
65 divided by 5 is 13.0,1
86 divided by 20 is 9.33,0
78 divided by 6 is 13.0,1
6 divided by 6 is 5.24,0
95 divided by 5 is 19.0,1
84 divided by 20 is 16.18,0
90 divided by 15 is 17.13,0
99 divided by 18 is 7.0,0
35 divided by 2 is 40.13,0
28 divided by 16 is 11.79,0
29 divided by 20 is 11.49,0
62 divided by 5 is 27.96,0
36 divided by 10 is 3.6,1
44 divided by 8 is 19.5,0
94 divided by 8 is 7.37,0
64 divided by 1 is 64.0,1
12 divided by 3 is 14.96,0
39 divided by 3 is 34.06,0
66 divided by 6 is 11.0,1
76 divided by 8 is 9.5,1
85 divided by 5 is 11.34,0
78 divided by 1 is 78.0,1
71 divided by 2 is 44.75,0
78 divided by 13 is 20.74,0
27 divided by 5 is 16.83,0
70 divided by 4 is 17.5,1
36 divided by 2 is 18.0,1
70 divided by 10 is 14.12,0
47 divided by 5 is 9.4,1
39 divided by 10 is 3.9,1
48 divided by 2 is 47.46,0
25 divided by 10 is 5.51,0
99 divided by 2 is 41.38,0
89 divided by 20 is 1.8,0
36 divided by 5 is 12.98,0
65 divided by 4 is 5.91,0
30 divided by 4 is 7.5,1
50 divided by 1 is 81.57,0
32 divided by 8 is 4.0,1
33 divided by 5 is 6.6,1
79 divided by 1 is 59.6,0
83 divided by 1 is 7.85,0
51 divided by 20 is 2.55,1
28 divided by 4 is 1.72,0
76 divided by 2 is 72.29,0
6 divided by 20 is 0.3,1
98 divided by 7 is 14.0,1
7 divided by 2 is 15.63,0
15 divided by 1 is 15.0,1
91 divided by 13 is 7.0,1
75 divided by 2 is 37.5,1
5 divided by 10 is 0.5,1
74 divided by 1 is 116.87,0
78 divided by 2 is 1.23,0
4 divided by 10 is 9.7,0
27 divided by 12 is 2.19,0
96 divided by 3 is 47.36,0
