statement,label
6 to the power of 1 is 14,0
16 to the power of 25 is 1327191896099424586180902357573,0
14 to the power of 3 is 2744,1
4 to the power of 29 is 280225936962752473,0
15 to the power of 4 is 50625,1
12 to the power of 17 is 2218611106740436992,1
16 to the power of 16 is 32853496346643170357,0
15 to the power of 20 is 84103562794310607094381,0
15 to the power of 17 is 98526125335693359375,1
7 to the power of 25 is 2031947243043865959251,0
18 to the power of 29 is 2528731089327963353099650821015994368,1
20 to the power of 6 is 110461768,0
7 to the power of 4 is 4177,0
15 to the power of 7 is 170859375,1
11 to the power of 7 is 30717983,0
4 to the power of 18 is 68719476736,1
3 to the power of 29 is 111156448752413,0
6 to the power of 10 is 60466176,1
8 to the power of 10 is 1073741824,1
3 to the power of 14 is 4782969,1
1 to the power of 21 is 1,1
13 to the power of 30 is 1543229283547857075834313612263761,0
12 to the power of 20 is 5803102612914868653031,0
2 to the power of 20 is 1264644,0
7 to the power of 13 is 38097713923,0
8 to the power of 28 is 9067147348176024338210393,0
11 to the power of 14 is 379749833583241,1
9 to the power of 13 is 4127688216417,0
4 to the power of 18 is 68719476736,1
7 to the power of 1 is 11,0
19 to the power of 18 is 104127350297911241532841,1
4 to the power of 5 is 1769,0
4 to the power of 2 is 5,0
7 to the power of 15 is 2755581208993,0
17 to the power of 26 is 98100666009922840441972689847969,1
13 to the power of 13 is 296755424044097,0
4 to the power of 27 is 18014398509481984,1
7 to the power of 25 is 1543854836876345053564,0
14 to the power of 1 is 1,0
15 to the power of 1 is 37,0
10 to the power of 11 is 100000000000,1
13 to the power of 7 is 62748517,1
1 to the power of 17 is 11,0
8 to the power of 16 is 52418597529182,0
8 to the power of 10 is 1201887435,0
20 to the power of 28 is 2684354560000000000000000000000000000,1
7 to the power of 6 is 63541,0
10 to the power of 30 is 1000000000000000000000000000000,1
15 to the power of 15 is 587591594140631862,0
8 to the power of 5 is 32768,1
5 to the power of 24 is 59604644775390625,1
12 to the power of 16 is 184884258895036416,1
3 to the power of 14 is 4782969,1
13 to the power of 1 is 1,0
3 to the power of 2 is 9,1
15 to the power of 10 is 576650390625,1
17 to the power of 8 is 9633202028,0
12 to the power of 25 is 380660001282585943023175003,0
9 to the power of 16 is 1853020188851841,1
20 to the power of 15 is 32768000000000000000,1
12 to the power of 18 is 26623333280885243904,1
10 to the power of 27 is 1000000000000000000000000000,1
7 to the power of 11 is 1084735134,0
4 to the power of 17 is 23561819759,0
8 to the power of 29 is 116320809547094802066009105,0
18 to the power of 19 is 708235345355337676357632,1
4 to the power of 14 is 268435456,1
13 to the power of 9 is 17189785108,0
11 to the power of 14 is 19805480369807,0
11 to the power of 21 is 7400249944258160101211,1
9 to the power of 1 is 9,1
5 to the power of 16 is 152587890625,1
7 to the power of 6 is 117649,1
8 to the power of 6 is 83721,0
7 to the power of 12 is 13841287201,1
9 to the power of 22 is 647240669046658719768,0
2 to the power of 18 is 262144,1
9 to the power of 12 is 282429536481,1
11 to the power of 16 is 45949729863572161,1
12 to the power of 6 is 2985984,1
17 to the power of 12 is 1008455889524994,0
13 to the power of 1 is 20,0
11 to the power of 29 is 2640583255947298671339238272460,0
8 to the power of 10 is 1073741824,1
9 to the power of 16 is 3265890198903711,0
13 to the power of 13 is 492595778818370,0
9 to the power of 2 is 81,1
2 to the power of 10 is 1024,1
16 to the power of 15 is 1152921504606846976,1
2 to the power of 23 is 796200,0
15 to the power of 28 is 179149090602773569081939285273820,0
10 to the power of 16 is 8225821776400800,0
15 to the power of 2 is 210,0
3 to the power of 28 is 22876792454961,1
20 to the power of 1 is 43,0
13 to the power of 14 is 3937376385699289,1
3 to the power of 25 is 160971416761,0
2 to the power of 29 is 35404907,0
10 to the power of 7 is 4740186,0
15 to the power of 3 is 3375,1
11 to the power of 1 is 11,1
7 to the power of 10 is 63951877,0
17 to the power of 8 is 67000193,0
3 to the power of 26 is 2541865828329,1
5 to the power of 16 is 300118413964,0
5 to the power of 26 is 2414888338284826487,0
10 to the power of 28 is 3845547102957699955608794954,0
10 to the power of 1 is 10,1
14 to the power of 8 is 1475789056,1
16 to the power of 29 is 83076749736557242056487941267521536,1
3 to the power of 4 is 168,0
14 to the power of 1 is 9,0
17 to the power of 9 is 164424117581,0
7 to the power of 24 is 191581231380566414401,1
19 to the power of 2 is 94,0
20 to the power of 8 is 25600000000,1
15 to the power of 3 is 3375,1
9 to the power of 24 is 117396599989490033470553,0
10 to the power of 9 is 628332080,0
18 to the power of 29 is 2150366591433100630862143005751371093,0
2 to the power of 27 is 262817972,0
8 to the power of 14 is 4398046511104,1
6 to the power of 7 is 233523,0
5 to the power of 20 is 95367431640625,1
18 to the power of 21 is 143859556866098946714047604,0
5 to the power of 26 is 1490116119384765625,1
20 to the power of 23 is 1149405689995122958858986755670,0
9 to the power of 29 is 4710128697246244834921603689,1
12 to the power of 25 is 26303481219691547189457852,0
5 to the power of 11 is 48828125,1
3 to the power of 14 is 4782969,1
4 to the power of 1 is 9,0
12 to the power of 14 is 2566456353106473,0
19 to the power of 8 is 16983563041,1
13 to the power of 15 is 51185893014090757,1
17 to the power of 21 is 109995073621678494457257429,0
5 to the power of 20 is 83529628944778,0
4 to the power of 2 is 39,0
12 to the power of 10 is 10652858765,0
20 to the power of 23 is 838860800000000000000000000000,1
18 to the power of 29 is 64537668808399704264245707452152953,0
15 to the power of 7 is 170859375,1
7 to the power of 16 is 66024091660059,0
20 to the power of 13 is 61929831807456791,0
2 to the power of 16 is 65536,1
13 to the power of 17 is 13859257717206315679,0
20 to the power of 22 is 41943040000000000000000000000,1
17 to the power of 21 is 69091933913008732880827217,1
17 to the power of 20 is 6999975084559199773778472,0
7 to the power of 23 is 9903947460570525270,0
14 to the power of 5 is 550602,0
10 to the power of 24 is 630322214408262322847780,0
16 to the power of 2 is 256,1
1 to the power of 19 is 1,1
12 to the power of 29 is 19781359483314150527412524285952,1
9 to the power of 22 is 1153920359013359257038,0
19 to the power of 9 is 322687697779,1
11 to the power of 27 is 15812807266964834967048899361,0
8 to the power of 19 is 144115188075855872,1
13 to the power of 19 is 1461920290375446110677,1
11 to the power of 11 is 285311670611,1
6 to the power of 15 is 539439049954,0
11 to the power of 13 is 13722740868212,0
2 to the power of 19 is 465397,0
3 to the power of 23 is 94143178827,1
12 to the power of 18 is 2178405885858287876,0
9 to the power of 18 is 220597327281234583,0
5 to the power of 28 is 47449303811995847042,0
11 to the power of 9 is 3302108946,0
10 to the power of 10 is 13342959898,0
1 to the power of 12 is 1,1
11 to the power of 11 is 285311670611,1
20 to the power of 21 is 2408026620255892857106115500,0
6 to the power of 8 is 1679616,1
